name,firm,source_url,source_type,reason
Josh Butler,Butler Benefits & Consulting,https://www.buzzsprout.com/2504748/episodes/18254555,health_rosetta_podcast,"Guest on ""Problem Solvers, Not Just Brokers"" Relocalizing Health podcast (Ep 12); founder/President of independent fiduciary EB brokerage Butler Benefits & Consulting (Amarillo TX); founding Health Rosetta Certified Advisor"
Drew Leatherberry,Avergent,https://healthrosetta.org/rosies/denver-2023/,health_rosetta_live,"Recognized advisor at multiple Rosie Awards (2023 Live event, 2024 DC event) for multiple WI employers; Founder and President of Avergent, independent fiduciary EB advisory firm in Wisconsin"
Ben Conner,Conner Insurance,https://healthrosetta.org/rosies/denver-2023/,health_rosetta_live,"Recognized advisor at 2023 and 2024 Rosies (Live events); President and CEO of Conner Insurance (Indianapolis), independent family-owned EB brokerage; co-acquired the firm in 2015"
Adam Berkowitz,Simpara,https://healthrosetta.org/rosies/denver-2023/,health_rosetta_live,"Recognized advisor at multiple Rosie Awards (2023, 2024, 2025 Live events); Founder and President of Simpara, independent fiduciary EB agency in St. Louis MO"
Carl C. Schuessler Jr.,Mitigate Partners,https://healthrosetta.org/rosies/denver-2023/,health_rosetta_live,"Recognized advisor at 2023 Rosies (Live event); Co-Founder and Managing Principal of Mitigate Partners, an independent partnership of 29 fiduciary EB consulting firms; founding Health Rosetta Charter Certified Advisor"
Jonathan Coddington,LD&B Insurance and Financial Services,https://healthrosetta.org/rosies/denver-2023/,health_rosetta_live,"Recognized advisor at 2023 Rosies (Live event) for multiple Virginia employers including Dynamic Aviation and InterChange Group; Client Advisor at LD&B, an independent VA-based EB advisory firm"
Bryce Heinbaugh,IEN Risk Management Consultants,https://healthrosetta.org/rosies/denver-2023/,health_rosetta_live,"Recognized advisor at 2023, 2024 Rosies (Live events) for INEOS, City of Ashtabula and others; Founder/Managing Partner of IEN Risk Management Consultants (Cleveland OH), independent fiduciary EB brokerage he founded at age 23"
Kelly Fristoe,Financial Partners,https://healthrosetta.org/rosies/denver-2023/,health_rosetta_live,"Recognized advisor at 2023, 2025 Rosies (Live events) for Hospice of Wichita Falls and Hoskinson Biotechnology; President/CEO of Financial Partners (Wichita Falls TX), independent EB brokerage"
Cristy Gupton,Custom Benefits Solutions,https://healthrosetta.org/rosies/denver-2023/,health_rosetta_live,"Recognized advisor at 2023, 2025 Rosies (Live events); Founder and President of Custom Benefits Solutions, independent fiduciary EB consulting firm in NC; 3rd-generation insurance professional, started firm in 2006"
Louis Bernardi,BritePath (Group Planners Inc),https://healthrosetta.org/rosies/denver-2023/,health_rosetta_live,"Recognized advisor at 2023 Rosies (Live event) for Oradell Animal Hospital; Co-Founder and Benefit Optimization Officer of BritePath (Woodbury NY), independent EB brokerage; host of Benefits with Friends podcast"
Bryan Perry,Peak Benefits,https://healthrosetta.org/rosies/denver-2023/,health_rosetta_live,"Recognized advisor at 2023, 2025 Rosies (Live events) for Bennett School District and others; Owner of Peak Benefits (Littleton CO), independent fiduciary EB brokerage; founding member of CO chapter of Health Rosetta"
Griffin Meredith,Commonwealth Insurance Partners,https://healthrosetta.org/rosies/denver-2023/,health_rosetta_live,"Recognized advisor at 2023, 2024 Rosies (Live events) for Lincoln National Bank and JD Bank; Founder/President of Commonwealth Insurance Partners, independent KY-based EB brokerage he grew to $40M+ in annual premiums"
Mike Andrade,Maverick Benefit Advisors,https://healthrosetta.org/rosies/denver-2023/,health_rosetta_live,"Recognized advisor at 2023 Rosies (Live event) for Dupre Logistics; independent benefits advisor at Maverick Benefit Advisors; founder/host of Solving Healthcare podcast"
Thomas Laster,Merit Benefits Southwest,https://healthrosetta.org/rosies/denver-2025/,health_rosetta_live,"Recognized advisor at 2025 Rosies (Live event) for Basin Engineering; President of Merit Benefits Southwest LLC, independent fiduciary EB brokerage; 43-year veteran in EB"
Christina King,C&A Benefits Group,https://healthrosetta.org/rosies/dc-2024/,health_rosetta_live,"Recognized advisor at 2024 Rosies (Live event) for Children's Hunger Alliance, City of Bellefontaine; Owner/Founder of C&A Benefits Group (Dublin OH), independent fiduciary EB consulting firm she founded in 2009"
Justin Thomas,Bull Benefits,https://healthrosetta.org/rosies/dc-2024/,health_rosetta_live,"Recognized advisor at 2024, 2025 Rosies (Live events) for Weaver Street Market; President of Bull Benefits, independent EB consulting firm in NC focused on self-insured employers"
Kristine Scheer,K2 Strategic,https://healthrosetta.org/rosies/denver-2023/,health_rosetta_live,"Recognized advisor at 2023 Rosies (Live event) for Synthomer; Founder and CEO of K2 Strategic, 100% female-owned independent fiduciary EB consulting & brokerage firm"
