name,firm,source_url,source_type,reason
Allison De Paoli,Altiqe Consulting,https://www.selffundedwithspencer.com/episode-34-allison-de-paoli/,self_funded_with_spencer,"Ep 34 — founder/owner of Altiqe Consulting (San Antonio, TX), an independent EB consulting/brokerage firm helping mid-size employers redesign health plans for cost control and quality"
Chris Wolpert,Group Benefit Solutions (GBS),https://www.selffundedwithspencer.com/independent-benefits-consulting-with-chris-wolpert-of-gbs/,self_funded_with_spencer,"Ep ""Independent Benefits Consulting with Chris Wolpert of GBS"" — founder of Group Benefit Solutions (Tacoma, WA), an independent risk-mitigation/cost-containment EB consulting firm and producer of the ""It's Not Personal, It's Just Healthcare"" documentary"
Lester Morales,Next Impact,https://www.selffundedwithspencer.com/episode-7-lester-morales/,self_funded_with_spencer,"Ep 7 — founder and CEO of Next Impact LLC, an independent EB consulting firm focused on innovative cost-containment and transparent health benefits"
Kareim Cade,Great Lakes Benefit Group,https://www.selffundedwithspencer.com/the-black-white-truth-of-benefits-leadership-kareim-cade-andy-neary/,self_funded_with_spencer,"2023 ep on benefits leadership — founder/president of Great Lakes Benefit Group (Royal Oak, MI), an independent EB brokerage serving K-12, public/private, and union groups; BenefitsPRO 2019 Broker of the Year finalist"
Chris Fisher,BenefitsAlly,https://www.selffundedwithspencer.com/episode-33-chris-fisher/,self_funded_with_spencer,"Ep 33 — founder of BenefitsAlly (Houston, TX); previously in benefits sales/distribution roles; founded platform serving independent benefits professionals"
Sean Turner,Buffer Insurance,https://www.selffundedwithspencer.com/the-broker-as-a-buffer-sean-turner-founder-of-buffer-insurance/,self_funded_with_spencer,"Ep ""The Broker as a Buffer"" — founder of Buffer Insurance (Southlake, TX), a veteran-led and veteran-owned independent insurance agency providing employer benefit plans"
Heather Bowers,Lone Star Benefits,https://www.selffundedwithspencer.com/elevate-your-customer-service-game-with-heather-bowers/,self_funded_with_spencer,"Ep ""Elevate Your Customer Service Game"" (Aug 2024) — president/owner of Lone Star Benefits Inc. (Frisco, TX), 2nd-generation independent EB agency she acquired in 2021, representing 80+ carriers for small/mid-size employer benefit programs"
Cara Kirsch,The Kirsch Group,https://www.selffundedwithspencer.com/the-secret-to-a-perfect-broker-partner-relationship/,self_funded_with_spencer,"Ep ""The Secret to a Perfect Broker-Partner Relationship"" (Nov 2025) — CEO and founder of The Kirsch Group (Omaha, NE), an independent employee benefits brokerage with 30 years of industry experience"
Scott Smith,TRUE Network Advisors,https://www.selffundedwithspencer.com/leadership-legacy-with-scott-smith-presidentceo-of-true-network-advisors/,self_funded_with_spencer,"Ep ""Leadership & Legacy"" (May 2023, plus 2025 ""Building a Contagious Community"") — founder/president/CEO of TRUE Network Advisors, a collaborative network of independent growth-oriented employee benefits agencies"
Chris Hamilton,Hotchkiss Insurance,https://www.selffundedwithspencer.com/a-renaissance-in-employee-benefits-with-chris-hamilton/,self_funded_with_spencer,"Multi-episode guest (Jan 2023 ""A Renaissance in Employee Benefits""; 2025 ""Why Did They Dismiss The J&J Lawsuit?"") — Partner and Employee Benefits Practice Leader at Hotchkiss Insurance, one of the largest privately/family-owned independent insurance brokerages in Texas; 2025 BenefitsPRO Advisor of the Year; founder of Benefits Insider"
Mike Massé,Hotchkiss Insurance,https://www.selffundedwithspencer.com/episode-16-mike-masse/,self_funded_with_spencer,"Ep 16 — employee benefits consultant at Hotchkiss Insurance (independently/family-owned Texas EB brokerage); appeared on podcast discussing self-funded benefits strategy"
Ross Conner,Hotchkiss Insurance,https://www.selffundedwithspencer.com/where-property-casualty-self-funding-collide/,self_funded_with_spencer,"Ep ""Where Property & Casualty & Self-Funding Collide"" (April 2023) — consultant at Hotchkiss Insurance, family-owned independent Texas brokerage"
David Contorno,E Powered Benefits,https://www.selffundedwithspencer.com/health-insurance-shouldnt-be-such-a-burden-with-david-contorno/,self_funded_with_spencer,"Multiple Spencer eps (Jan 2024 ""Health Insurance Shouldn't Be Such A Burden""; ""The Real Cost of Health Insurance"") — founder and CEO of E Powered Benefits, an independent fiduciary/transparent EB brokerage; Forbes Most Innovative Insurance Broker; BenefitsPro Broker of the Year"
Eric Silverman,Voluntary Disruption / Silverman Benefits Group,https://www.selffundedwithspencer.com/enhanced-benefits-and-communication-eric-silverman-voluntary-disruption/,self_funded_with_spencer,"Ep ""Enhanced Benefits and Communication"" (July 2023) — founder/owner of Baltimore-based Silverman Benefits Group (SBG) / Voluntary Disruption, an independent carrier-neutral benefits boutique; 2017 EBA Voluntary Adviser of the Year"

