candidate_id,name,firm,source_count,source_types,source_urls,reasons
c001,Josh Butler,Butler Benefits & Consulting,6,benefitspro_ebn; fmma_conference; fmma_directory; health_rosetta_directory; health_rosetta_podcast; linkedin_keyword_search,https://www.benefitspro.com/2022/05/24/2022-broker-of-the-year | https://fmma.org/annual-conference/past-conferences/ | https://fmma.org/membership/chapters/ | https://directory.healthrosetta.org/directory/josh_butler | https://www.buzzsprout.com/2504748/episodes/18254555 | https://www.linkedin.com/in/josh-butler-benefits/,"Founder/President of Butler Benefits & Consulting (Amarillo TX); 2022 BenefitsPRO Broker of the Year; Health Rosetta Certified Advisor | FMMA 2025 Annual Conference speaker; President/founder of Butler Benefits (Amarillo TX); 2022 BenefitsPRO Broker of the Year; Health Rosetta certified independent fiduciary EB brokerage | FMMA Amarillo chapter leader and president/owner of Butler Benefits & Consulting, an independent next-generation EB brokerage focused on transparent self-funded plans | Listed as Health Rosetta certified advisor at Butler Benefits & Consulting (eponymous firm) | Guest on ""Problem Solvers, Not Just Brokers"" Relocalizing Health podcast (Ep 12); founder/President of independent fiduciary EB brokerage Butler Benefits & Consulting (Amarillo TX); founding Health Rosetta Certified Advisor | Founder/President of independent EB consulting/brokerage firm, Health Rosetta certified; surfaced via 'Butler Benefits founder' search"
c002,David Contorno,E Powered Benefits,6,fmma_conference; health_rosetta_directory; linkedin_keyword_search; relentless_health_value; self_funded_with_spencer; validation_institute,https://fmma.org/wp-content/uploads/2025/01/David-Contorno.pdf | https://directory.healthrosetta.org/directory/david_contorno | https://healthrosetta.org/people/david-contorno/ | https://relentlesshealthvalue.com/episode/ep339 | https://www.selffundedwithspencer.com/health-insurance-shouldnt-be-such-a-burden-with-david-contorno/ | https://validationinstitute.com/fiduciary/,"FMMA 2019 and 2025 speaker (David-Contorno.pdf hosted on fmma.org); founder/CEO of E Powered Benefits; Forbes Most Innovative Broker; transparent fee-based independent EB brokerage | Listed as Health Rosetta certified advisor at E Powered Benefits | Founder/CEO of fee-only fiduciary EB brokerage, no commissions; surfaced via 'benefits broker founder fiduciary' search | EP339: Helping Employers Navigate the Perilous Medical-Industrial Complex (Sept 2021) - founder of E Powered Benefits, independent fiduciary EB brokerage; appeared multiple times on RHV | Multiple Spencer eps (Jan 2024 ""Health Insurance Shouldn't Be Such A Burden""; ""The Real Cost of Health Insurance"") — founder and CEO of E Powered Benefits, an independent fiduciary/transparent EB brokerage; Forbes Most Innovative Insurance Broker; BenefitsPro Broker of the Year | Founder of independent fee-based EB brokerage E Powered Benefits; Validation Institute fiduciary-validated advisor."
c003,Bryce Heinbaugh,IEN Risk Management Consultants,5,benefitspro_ebn; fmma_conference; health_rosetta_directory; health_rosetta_live; linkedin_keyword_search,https://voluntarydisruption.com/2023/05/01/2023-benefitspro-broker-of-the-year-top-5-finalist-bryce-heinbaugh/ | https://fmma.org/annual-conference/past-conferences/ | https://directory.healthrosetta.org/directory/bryce_heinbaugh | https://healthrosetta.org/rosies/denver-2023/ | https://www.linkedin.com/in/bryce-heinbaugh-mba-healthcare-trailblazer-2216368/,"Co-founder/CEO of IEN Risk Management Consultants; 2023 BenefitsPRO Broker of the Year finalist; Health Rosetta transparency advocate | FMMA 2024 Annual Conference speaker; Managing Partner/CEO of IEN Risk Management Consultants (Cleveland OH); independent EB brokerage; Health Rosetta practitioner | Listed as Health Rosetta certified advisor at IEN Risk Management | Recognized advisor at 2023, 2024 Rosies (Live events) for INEOS, City of Ashtabula and others; Founder/Managing Partner of IEN Risk Management Consultants (Cleveland OH), independent fiduciary EB brokerage he founded at age 23 | Founder/CEO/Managing Partner of independent EB consulting firm, Health Rosetta Practitioner, 2023 BenefitsPRO Broker of the Year finalist"
c004,Adam Berkowitz,Simpara,5,benefitspro_ebn; fmma_conference; health_rosetta_directory; health_rosetta_live; linkedin_keyword_search,https://www.simparahr.com/blog/2020/5/27/from-startup-to-standout-simparas-founder-honored-as-a-broker-of-the-year-finalist | https://fmma.org/annual-conference/past-conferences/ | https://directory.healthrosetta.org/directory/adam_berkowitz | https://healthrosetta.org/rosies/denver-2023/ | https://www.linkedin.com/in/berkowitzae/,"Founder/President of Simpara; 2020 BenefitsPRO Broker of the Year finalist; modern independent EB agency focused on healthcare cost transparency | FMMA 2023 Annual Conference speaker on Waterford Union case study; founder & president of Simpara (St Louis MO); independent fee-only EB agency that explicitly refuses commissions/overrides; BenefitsPRO Broker of the Year finalist | Listed as Health Rosetta certified advisor at Simpara | Recognized advisor at multiple Rosie Awards (2023, 2024, 2025 Live events); Founder and President of Simpara, independent fiduciary EB agency in St. Louis MO | Founder/President of Health Rosetta certified EB agency; surfaced via 'health rosetta advisor founder' search"
c005,Cristy Gupton,Custom Benefits Solutions,5,fmma_conference; fmma_directory; health_rosetta_directory; health_rosetta_live; linkedin_keyword_search,https://www.custombenefits.work/speaking-engagments/2021/8/5/2021-fmma-annual-conference | https://fmma.org/membership/chapters/ | https://directory.healthrosetta.org/directory/crystal_gupton | https://healthrosetta.org/rosies/denver-2023/ | https://www.linkedin.com/in/cristygupton/,"2021 FMMA Annual Conference speaker on employer-built health plans; founder/president of Custom Benefits Solutions (NC); Global Financial Steward fiduciary credential; Health Rosetta advisor | FMMA Carolinas chapter leader and founder/president of Custom Benefits Solutions, an independent employer-focused EB advisory firm | Listed as Health Rosetta certified advisor at Custom Benefits Solutions | Recognized advisor at 2023, 2025 Rosies (Live events); Founder and President of Custom Benefits Solutions, independent fiduciary EB consulting firm in NC; 3rd-generation insurance professional, started firm in 2006 | Founder/President of independent benefits agency, Global Financial Steward designation; surfaced via fiduciary broker founder search"
c006,Kelly Fristoe,Financial Partners,5,fmma_conference; fmma_directory; health_rosetta_directory; health_rosetta_live; validation_institute,https://fmma.org/annual-conference/past-conferences/ | https://fmma.org/membership/chapters/ | https://directory.healthrosetta.org/directory/kelly_fristoe | https://healthrosetta.org/rosies/denver-2023/ | https://validationinstitute.com/certified-professionals/,"FMMA 2024 Annual Conference speaker; President/CEO of Financial Partners (Wichita Falls TX); independent EB brokerage acting as fiduciary steward of health plan dollars; NAHU board member | FMMA Wichita Falls chapter leader and president/founder of Financial Partners, an independent EB advisory firm; past NAHU/NABIP president | Listed as Health Rosetta certified advisor at Financial Partners | Recognized advisor at 2023, 2025 Rosies (Live events) for Hospice of Wichita Falls and Hoskinson Biotechnology; President/CEO of Financial Partners (Wichita Falls TX), independent EB brokerage | Certified Health Value Advisor (CHVA) and well-known independent benefits advisor/owner."
c007,Allison De Paoli,Altiqe Consulting,4,benefitspro_ebn; fmma_conference; health_rosetta_directory; self_funded_with_spencer,https://www.benefitnews.com/advisers/opinion/healthcare-benefits-enter-new-fiduciary-era | https://fmma.org/annual-conference/past-conferences/ | https://directory.healthrosetta.org/directory/allison_de_paoli | https://www.selffundedwithspencer.com/episode-34-allison-de-paoli/,"Founder of Altiqe Consulting; BenefitsPRO and EBN contributing author on PBM transparency, CAA, and fiduciary era; 2026 BenefitsPRO Advisor of the Year | FMMA 2022 Annual Conference speaker; founder of Altiqe Consulting (San Antonio TX); independent EB broker/consultant emphasizing fiduciary PBM and transparent compensation; Health Rosetta affiliated | Listed as Health Rosetta certified advisor at Altiqe | Ep 34 — founder/owner of Altiqe Consulting (San Antonio, TX), an independent EB consulting/brokerage firm helping mid-size employers redesign health plans for cost control and quality"
c008,Ben Conner,Conner Insurance,4,health_rosetta_directory; health_rosetta_live; linkedin_keyword_search; shift_shapers,https://www.shiftshapersonline.com/2045524/episodes/17802180-530-from-jungle-survival-to-business-innovation-conner-insurance | https://directory.healthrosetta.org/directory/ben_conner | https://healthrosetta.org/rosies/denver-2023/ | https://healthrosetta.org/people/benconner/,"EP 530 — third-generation CEO of Conner Insurance, an independent (non-PE) US agency with an employee benefits practice focused on supply chain/pharmacy transparency and cost containment | Listed as Health Rosetta certified advisor at Conner Insurance (eponymous family firm) | Recognized advisor at 2023 and 2024 Rosies (Live events); President and CEO of Conner Insurance (Indianapolis), independent family-owned EB brokerage; co-acquired the firm in 2015 | Owner/principal of independent EB agency, Health Rosetta certified; surfaced via 'Conner Insurance founder' search"
c009,Chelsea Ryckis,Ethos Benefits,3,benefitspro_ebn; linkedin_keyword_search; validation_institute,https://www.benefitspro.com/2024/04/02/2024-advisor-of-the-year-finalist-lindsay-clarke-youngwerth/ | https://www.linkedin.com/in/chelsea-ryckis-8508a192/ | https://validationinstitute.com/fiduciary/,Founder/President of Ethos Benefits; BenefitsPRO 2024 Advisor of the Year winner; fiduciary-driven independent EB brokerage advocating transparency | Founder/President of fee-only fiduciary EB consulting firm; surfaced via 'PBM transparency benefits broker founder' search | Co-principal of independent EB brokerage Ethos Benefits; listed on Validation Institute Fiduciary Validated directory.
c010,Kristine Scheer,K2 Strategic,3,benefitspro_ebn; health_rosetta_directory; health_rosetta_live,https://www.benefitspro.com/2026/04/02/2026-advisor-of-the-year-finalist-kristine-scheer/ | https://directory.healthrosetta.org/directory/kristine_m_scheer | https://healthrosetta.org/rosies/denver-2023/,"Founder/CEO of K2 Strategic; 2026 BenefitsPRO Advisor of the Year finalist; fiduciary-first independent boutique benefits brokerage | Listed as Health Rosetta certified advisor at K2 Strategic | Recognized advisor at 2023 Rosies (Live event) for Synthomer; Founder and CEO of K2 Strategic, 100% female-owned independent fiduciary EB consulting & brokerage firm"
