name,firm,source_url,source_type,reason
Chelsea Ryckis,Ethos Benefits,https://www.linkedin.com/in/chelsea-ryckis-8508a192/,linkedin_keyword_search,"Founder/President of fee-only fiduciary EB consulting firm; surfaced via 'PBM transparency benefits broker founder' search"
Donovan Pyle,Health Compass Consulting,https://healthcompassconsulting.com/,linkedin_keyword_search,"Founder of fiduciary fee-based EB consulting firm; surfaced via 'fee-based employee benefits advisor fiduciary broker' search"
Cristy Gupton,Custom Benefits Solutions,https://www.linkedin.com/in/cristygupton/,linkedin_keyword_search,"Founder/President of independent benefits agency, Global Financial Steward designation; surfaced via fiduciary broker founder search"
Carl Schuessler Jr.,Mitigate Partners,https://www.linkedin.com/in/ccsjr1/,linkedin_keyword_search,"Founder/Managing Principal of fiduciary EB consulting firm; surfaced via 'Mitigate Partners founder employee benefits fiduciary' search"
David Contorno,E Powered Benefits,https://healthrosetta.org/people/david-contorno/,linkedin_keyword_search,"Founder/CEO of fee-only fiduciary EB brokerage, no commissions; surfaced via 'benefits broker founder fiduciary' search"
Nelson Griswold,NextGen Benefits / Bottom Line Solutions,https://www.linkedin.com/in/nelsongriswold,linkedin_keyword_search,"Founder of NextGen Benefits Mastermind; vocal about broker fiduciary responsibility; surfaced via 'benefits broker founder fiduciary' search"
Adam Berkowitz,Simpara,https://www.linkedin.com/in/berkowitzae/,linkedin_keyword_search,"Founder/President of Health Rosetta certified EB agency; surfaced via 'health rosetta advisor founder' search"
Jason Swindle,TIG Advisors,https://www.linkedin.com/in/jasonswindle707/,linkedin_keyword_search,"CEO/owner of independent EB agency, Health Rosetta Advisor; surfaced via 'health rosetta advisor founder' search"
Diana Miller,Conner Insurance,https://www.linkedin.com/in/dianapena09/,linkedin_keyword_search,"Health Rosetta Advisor at independent EB firm; surfaced via 'health rosetta advisor' search"
Tom Davidson,Health Rosetta benefits advisor,https://www.linkedin.com/in/tomdavidson3/,linkedin_keyword_search,"Health Rosetta benefits advisor designing efficient health plans; surfaced via 'health rosetta advisor founder' search"
David Johnson,Commercial Insurance Associates,https://www.linkedin.com/in/davidjohnsonhealthrosetta/,linkedin_keyword_search,"Health Rosetta Certified Advisor at independent EB firm; surfaced via 'health rosetta advisor founder' search"
Michael G. Smith,Butler Benefits & Consulting,https://www.linkedin.com/in/michael-g-smith-mha-health-rosetta-advisor-2811576/,linkedin_keyword_search,"Health Rosetta Advisor at independent EB firm; surfaced via 'health rosetta advisor founder' search"
Eric Silverman,Voluntary Disruption / Silverman Benefits Group,https://www.linkedin.com/in/silvermaneric/,linkedin_keyword_search,"Founder/owner of boutique EB consulting firm; surfaced via 'independent benefits advisor founder disruption' search"
Adam Hewitt,Independent broker (PBM transparency LinkedIn post),https://www.linkedin.com/posts/adamhewitt1_pbm-pbmreform-healthcarecosts-activity-7424874314610511872-qT7V,linkedin_keyword_search,"LinkedIn post on PBM transparency mandates; surfaced via 'PBM transparency benefits broker founder' search"
Mitchell Shames,Harrison Fiduciary Group LLC,https://www.linkedin.com/in/mitchell-shames-25b14811/,linkedin_keyword_search,"Founder/Managing Director focused on fiduciary practices; surfaced via 'founder employee benefits fiduciary' search"
Louis C. Bernardi,BritePath (Group Planners Inc),https://www.linkedin.com/in/lougpi2/,linkedin_keyword_search,"CEO/Founder, Health Rosetta Advisor; surfaced via 'BritePath founder benefits broker fiduciary' search"
