name,firm,source_url,source_type,reason
Josh Butler,Butler Benefits & Consulting,https://fmma.org/membership/chapters/,fmma_directory,"FMMA Amarillo chapter leader and president/owner of Butler Benefits & Consulting, an independent next-generation EB brokerage focused on transparent self-funded plans"
Cristy Gupton,Custom Benefits Solutions,https://fmma.org/membership/chapters/,fmma_directory,"FMMA Carolinas chapter leader and founder/president of Custom Benefits Solutions, an independent employer-focused EB advisory firm"
Bryan Perry,Peak Benefits,https://fmma.org/membership/chapters/,fmma_directory,"FMMA Colorado chapter leader/spokesperson and owner of Peak Benefits, an independent EB brokerage building transparent self-funded plans"
Niko Caparisos,Prosperity Benefits,https://fmma.org/membership/chapters/,fmma_directory,"FMMA Georgia chapter leader and principal/founder of Prosperity Benefits, an independent EB advisory firm serving small-to-mid employers"
Thomas DiLiegro,Benefit Advisors of Charleston,https://fmma.org/membership/chapters/,fmma_directory,"FMMA Charleston chapter leader and principal owner of Benefit Advisors of Charleston, an independent EB brokerage focused on transparent self-funded plans"
Tom Yakopin,West Penn Life & Health,https://fmma.org/membership/chapters/,fmma_directory,"FMMA Pennsylvania chapter leader and owner/managing general agent of West Penn Life & Health, an independent health and EB agency"
Kelly Fristoe,Financial Partners,https://fmma.org/membership/chapters/,fmma_directory,"FMMA Wichita Falls chapter leader and president/founder of Financial Partners, an independent EB advisory firm; past NAHU/NABIP president"
Kalli Ortega,MelEos Group,https://fmma.org/membership/chapters/,fmma_directory,"FMMA Illinois chapter leader and founder/CEO of MelEos Group, an independent health benefits advisory public benefit corporation"
Colton Storla,North Risk Partners,https://fmma.org/membership/chapters/,fmma_directory,"FMMA Iowa chapter leader and Partner / Employee Benefits Risk Advisor at North Risk Partners, an independent regional EB brokerage"
Stephen Daniel,Mitigate Partners,https://fmma.org/membership/chapters/,fmma_directory,"FMMA Las Vegas chapter co-leader and Partner at Mitigate Partners (national alliance of independent EB advisors); also at Insurance Office of America EB team"
