candidate_id,name,firm,verdict,gate1_ok,gate2_ok,gate3_ok,gate4_ok,firm_size_estimate,city,state,linkedin_url,firm_website,evidence_file,notes
c097,Jennii Fielding,Alpine Peak Benefits,INSUFFICIENT_DATA,Yes,Yes,No,Yes,2-3,Draper,UT,https://www.linkedin.com/in/jenniferlynfielding/,https://alpinepeakbenefits.com/,evidence/c097.md,"Owner/Health Rosetta/self-funded all confirmed but firm <5 (LinkedIn 2-10, only 2 named). Health Rosetta profile under prior firm Compass."
c098,Robin Flaherty,"Benefit Link, LLC",INSUFFICIENT_DATA,Yes,Yes,No,Unknown,~3,Rochester,NY,https://www.linkedin.com/in/robinflaherty/,https://benefitlink.net/,evidence/c098.md,"CPA founder + Health Rosetta but firm ~3 staff per Manta; no self-funded marketing visible; serves <100 employee clients."
c099,Tony Goebel,5G Benefits,REJECT,Yes,Yes,No,Partial,~26,Fond du Lac,WI,https://www.linkedin.com/in/tonygoebel,https://5gbenefits.com/,evidence/c099.md,"Team page lists 26 members across 3 offices + satellites. Inc 5000 fastest-growing in WI. Size > 15 disqualifies."
c100,Gary Goodhile,Edge Benefit Partners,INSUFFICIENT_DATA,Partial,Yes,No,Yes,3-5,Holden,MA,,https://www.edgeben.com/,evidence/c100.md,"Gary is Partner (not founder); Doug Goodhile is President & Founder. Firm appears 3-5 person family operation."
c105,Joey Hall,"Remedy Advisors, LLC",INSUFFICIENT_DATA,Yes,Yes,No,Yes,2-3,Charlotte,NC,https://www.linkedin.com/in/joeyhall/,https://remedyadvisors.com/,evidence/c105.md,"Strong fiduciary signals (CPA CLU RHU CHVP REBC AdvSF Health Rosetta) but father-son shop ~2-3 people."
c108,Michael Hand,Benefits Exchange Los Angeles (BXLA),INSUFFICIENT_DATA,Yes,Yes,Unknown,Partial,Unknown,Culver City,CA,https://www.linkedin.com/in/michael-hand-0390041b3/,https://www.bxala.com/,evidence/c108.md,"Founder + Health Rosetta confirmed; firm website 403/blocked. Team size not triangulated. CA book heavily fully-insured/HMO per Hand's own bio."
c111,Christina Heckathorn,"Employee Benefit Associates, Inc.",REJECT,No,Yes,No,Partial,Acquired,Lexington,KY,,https://ebaky.com/,evidence/c111.md,"VP not owner (John Humkey is founder/owner). EBA acquired by HUB International April 2025 = top-100 broker subsidiary disqualifier."
c113,Greg Hofmann,Advantage Benefits Group,REJECT,Partial,Yes,No,Yes,~50,Grand Rapids,MI,https://www.linkedin.com/in/advanagebenefits/,https://advantageben.com/,evidence/c113.md,"Partner (not founder); firm has ~50 employees across Grand Rapids, Traverse City, Detroit offices. Size > 15."
c117,Corry Hull,BHC Insurance,REJECT,No,Partial,No,Partial,~80,Fort Smith,AR,https://www.linkedin.com/in/corryhull/,https://www.bhca.com/,evidence/c117.md,"Sr. Employee Benefits Consultant not owner (Clark family controls). BHC has 80 employees company-wide. Multi-line P&C/EB. CSFS designation but firm too large."
c123,Ray Kober,Benefixa,INSUFFICIENT_DATA,Yes,Yes,No,Yes,~3,New York,NY,https://www.linkedin.com/in/raykober,https://benefixa.com/,evidence/c123.md,"Founder/CEO + Health Rosetta + NextGen Benefits + Broken Healthcare podcast host + GO Plan; firm only ~3 employees per LinkedIn."
c125,Corey Koskie,Elevate Advisor Group,INSUFFICIENT_DATA,Yes,Yes,No,Partial,2-3,Plymouth,MN,https://www.linkedin.com/in/corey-koskie-2a4b0024/,https://benefitsbyelevate.com/,evidence/c125.md,"Founder + Health Rosetta Certified Practitioner. Former MLB Twins player. Firm appears 2-3 person family operation with brother Joshua."
c127,Mitch Laughton,The Laughton Company,VERIFIED,Yes,Yes,Yes,Partial,13-14,Reno,NV,https://www.linkedin.com/in/mitch-laughton/,https://www.laughtonco.com/,evidence/c127.md,"Owner/President + Health Rosetta + AIF fiduciary credential. ~14 employees (RocketReach) / 13 LinkedIn = squarely in 5-15. 50-year family firm. Self-funded book size not explicit in marketing."
