name,firm,source_url,source_type,reason
Chelsea Ryckis,Ethos Benefits,https://www.benefitspro.com/2024/04/02/2024-advisor-of-the-year-finalist-lindsay-clarke-youngwerth/,benefitspro_ebn,"Founder/President of Ethos Benefits; BenefitsPRO 2024 Advisor of the Year winner; fiduciary-driven independent EB brokerage advocating transparency"
Chris Wolpert,Group Benefit Solutions,https://www.benefitspro.com/2024/04/03/2024-advisor-of-the-year-finalist-chris-wolpert/,benefitspro_ebn,"Founder/owner of Group Benefit Solutions (Tacoma WA); 2024 BenefitsPRO Advisor of the Year finalist; advocates broker transparency and aligned-incentive healthcare"
Lindsay Clarke Youngwerth,Keenly,https://www.benefitspro.com/2024/04/02/2024-advisor-of-the-year-finalist-lindsay-clarke-youngwerth/,benefitspro_ebn,"Founder of Keenly (Boise ID); 2024 BenefitsPRO Advisor of the Year finalist; advocate for healthcare transparency"
Kristine Scheer,K2 Strategic,https://www.benefitspro.com/2026/04/02/2026-advisor-of-the-year-finalist-kristine-scheer/,benefitspro_ebn,"Founder/CEO of K2 Strategic; 2026 BenefitsPRO Advisor of the Year finalist; fiduciary-first independent boutique benefits brokerage"
Allison De Paoli,Altiqe Consulting,https://www.benefitnews.com/advisers/opinion/healthcare-benefits-enter-new-fiduciary-era,benefitspro_ebn,"Founder of Altiqe Consulting; BenefitsPRO and EBN contributing author on PBM transparency, CAA, and fiduciary era; 2026 BenefitsPRO Advisor of the Year"
Nancy Giacolone,Olympic Crest Insurance,https://www.benefitspro.com/2023/06/10/2023-broker-of-the-year-nancy-giacolone/,benefitspro_ebn,"Founder/President of Olympic Crest Insurance (boutique benefits agency); 2023 BenefitsPRO Broker of the Year"
Susan L. Combs,Combs & Company,https://www.benefitspro.com/2017/04/12/meet-this-years-broker-of-the-year-susan-l-combs/,benefitspro_ebn,"Founder/President of Combs & Company (NYC independent brokerage); BenefitsPRO Broker of the Year"
Josh Butler,Butler Benefits & Consulting,https://www.benefitspro.com/2022/05/24/2022-broker-of-the-year,benefitspro_ebn,"Founder/President of Butler Benefits & Consulting (Amarillo TX); 2022 BenefitsPRO Broker of the Year; Health Rosetta Certified Advisor"
Bryce Heinbaugh,IEN Risk Management Consultants,https://voluntarydisruption.com/2023/05/01/2023-benefitspro-broker-of-the-year-top-5-finalist-bryce-heinbaugh/,benefitspro_ebn,"Co-founder/CEO of IEN Risk Management Consultants; 2023 BenefitsPRO Broker of the Year finalist; Health Rosetta transparency advocate"
Adam Berkowitz,Simpara,https://www.simparahr.com/blog/2020/5/27/from-startup-to-standout-simparas-founder-honored-as-a-broker-of-the-year-finalist,benefitspro_ebn,"Founder/President of Simpara; 2020 BenefitsPRO Broker of the Year finalist; modern independent EB agency focused on healthcare cost transparency"
Kareim Cade,Great Lakes Benefit Group,https://www.benefitspro.com/2019/03/25/2019-broker-of-the-year-finalist-kareim-cade/,benefitspro_ebn,"Founder/President of Great Lakes Benefit Group (Southfield MI); 2019 BenefitsPRO Broker of the Year finalist"
Kim Eckelbarger,Tropical Benefits,https://www.benefitspro.com/2022/04/19/2022-broker-of-the-year-finalist-kim-eckelbarger/,benefitspro_ebn,"Founder/President of Tropical Benefits (Tampa FL); 2022 BenefitsPRO Broker of the Year finalist; NextGen Benefits Adviser of the Year 2019"
Rachel Hawkins,Angler Insurance,https://www.benefitspro.com/2025/04/08/2025-advisor-of-the-year-finalist-rachel-hawkins/,benefitspro_ebn,"Founder of Angler Insurance (Shelton WA); 2025 BenefitsPRO Advisor of the Year finalist; medical captive and alternative funding advocate"
Al Schiebel,ShopBenefits,https://www.benefitspro.com/2026/04/03/2026-advisor-of-the-year-finalist-al-schiebel/,benefitspro_ebn,"Owner/CEO of ShopBenefits (Atlanta GA); 2026 BenefitsPRO Advisor of the Year finalist"
Alex Dampf,Oakmont Benefits Group,https://www.benefitspro.com/2026/03/30/2026-advisor-of-the-year-finalist-alex-dampf/,benefitspro_ebn,"Founder/President of Oakmont Benefits Group (Nashville TN); 2026 BenefitsPRO Advisor of the Year finalist; built firm on transparency principles, Health Rosetta charter member"
Nelson Griswold,NextGen Benefits Mastermind Partnership,https://www.benefitnews.com/advisers/opinion/what-compensation-disclosure-means-for-benefit-advisers,benefitspro_ebn,"Founder of NextGen Benefits Mastermind Partnership and ASCEND Summit; EBN opinion author 'What compensation disclosure means for benefit advisers' advocating broker compensation transparency"
