name,firm,source_url,source_type,reason
Liz Antaya,Evergreen Benefits Group,https://directory.healthrosetta.org/directory/liz_antaya,health_rosetta_directory,Listed as Health Rosetta certified advisor at Evergreen Benefits Group
Heidi Aubertin,Lacher & Associates,https://directory.healthrosetta.org/directory/heidi_aubertin,health_rosetta_directory,Listed as Health Rosetta certified advisor at Lacher & Associates
Nikki Baker,Diversified Insurance Industries,https://directory.healthrosetta.org/directory/nicole_baker,health_rosetta_directory,Listed as Health Rosetta certified advisor at Diversified Insurance Industries
Kurstin Bartholomew,Gibson,https://directory.healthrosetta.org/directory/kirsten_bartholomew,health_rosetta_directory,Listed as Health Rosetta certified advisor at Gibson
Benjie Bates,Bates Hewett & Floyd,https://directory.healthrosetta.org/directory/benjie_bates,health_rosetta_directory,Listed as Health Rosetta certified advisor at Bates Hewett & Floyd
Jake Bean,North Star Benefits LLC,https://directory.healthrosetta.org/directory/jacob_bean,health_rosetta_directory,Listed as Health Rosetta certified advisor at North Star Benefits LLC
Michael Bechtol,Bravo Health Partners,https://directory.healthrosetta.org/directory/michael_bechtol,health_rosetta_directory,Listed as Health Rosetta certified advisor at Bravo Health Partners
Will Belletto,"WaFd Insurance Group, Inc.",https://directory.healthrosetta.org/directory/will_belletto,health_rosetta_directory,"Listed as Health Rosetta certified advisor at WaFd Insurance Group, Inc."
Brittney Bello,"Verus Insurance Services, LLC",https://directory.healthrosetta.org/directory/brittney_bello,health_rosetta_directory,"Listed as Health Rosetta certified advisor at Verus Insurance Services, LLC"
Brian Bellware,Gibson,https://directory.healthrosetta.org/directory/brian_bellware,health_rosetta_directory,Listed as Health Rosetta certified advisor at Gibson
Christian Bergstrom,W3 Insurance,https://directory.healthrosetta.org/directory/christian_bergstrom,health_rosetta_directory,Listed as Health Rosetta certified advisor at W3 Insurance
Adam Berkowitz,Simpara,https://directory.healthrosetta.org/directory/adam_berkowitz,health_rosetta_directory,Listed as Health Rosetta certified advisor at Simpara
Louis Bernardi,Group Planners Insurance Solutions DBA BritePath,https://directory.healthrosetta.org/directory/louis_bernardi,health_rosetta_directory,Listed as Health Rosetta certified advisor at BritePath (Group Planners Insurance Solutions)
Joey Bickley,Bickley Insurance,https://directory.healthrosetta.org/directory/joey_bickley,health_rosetta_directory,Listed as Health Rosetta certified advisor at Bickley Insurance (apparent eponymous owner)
Matt Bittner,The Volition Group,https://directory.healthrosetta.org/directory/matt_bittner,health_rosetta_directory,Listed as Health Rosetta certified advisor at The Volition Group
Ben Bohonowicz,"Riggs, Counselman, Michaels & Downes, Inc.",https://directory.healthrosetta.org/directory/ben_bohonowicz,health_rosetta_directory,"Listed as Health Rosetta certified advisor at Riggs, Counselman, Michaels & Downes"
Jerry Bonenberger,Clear Consulting Group,https://directory.healthrosetta.org/directory/jerry_bonenberger,health_rosetta_directory,Listed as Health Rosetta certified advisor at Clear Consulting Group
Tanya Boyd,Tanya Boyd & Associates,https://directory.healthrosetta.org/directory/tanya_boyd,health_rosetta_directory,Listed as Health Rosetta certified advisor at Tanya Boyd & Associates (eponymous firm)
