name,firm,source_url,source_type,reason
Josh Butler,Butler Benefits & Consulting,https://fmma.org/annual-conference/past-conferences/,fmma_conference,"FMMA 2025 Annual Conference speaker; President/founder of Butler Benefits (Amarillo TX); 2022 BenefitsPRO Broker of the Year; Health Rosetta certified independent fiduciary EB brokerage"
Cristy Gupton,Custom Benefits Solutions,https://www.custombenefits.work/speaking-engagments/2021/8/5/2021-fmma-annual-conference,fmma_conference,"2021 FMMA Annual Conference speaker on employer-built health plans; founder/president of Custom Benefits Solutions (NC); Global Financial Steward fiduciary credential; Health Rosetta advisor"
Carl Schuessler Jr,Mitigate Partners,https://fmma.org/presentation-videos/,fmma_conference,"FMMA presenter on employer-built healthcare; Co-Founder & Managing Principal of Mitigate Partners (national alliance of 33 independent EB consulting/brokerage firms); pioneered fiduciary approach to benefits advisory"
Tom DiLiegro,Benefit Advisors of Charleston,https://shophealth.fmma.org/members/1021,fmma_conference,"FMMA Charleston chapter co-leader and speaker; principal owner of Benefit Advisors of Charleston (SC); independent EB brokerage; Health Rosetta advisor; BenefitsPRO Broker of the Year finalist"
David Contorno,E Powered Benefits,https://fmma.org/wp-content/uploads/2025/01/David-Contorno.pdf,fmma_conference,"FMMA 2019 and 2025 speaker (David-Contorno.pdf hosted on fmma.org); founder/CEO of E Powered Benefits; Forbes Most Innovative Broker; transparent fee-based independent EB brokerage"
Allison De Paoli,Altiqe Consulting,https://fmma.org/annual-conference/past-conferences/,fmma_conference,"FMMA 2022 Annual Conference speaker; founder of Altiqe Consulting (San Antonio TX); independent EB broker/consultant emphasizing fiduciary PBM and transparent compensation; Health Rosetta affiliated"
Bryce Heinbaugh,IEN Risk Management Consultants,https://fmma.org/annual-conference/past-conferences/,fmma_conference,"FMMA 2024 Annual Conference speaker; Managing Partner/CEO of IEN Risk Management Consultants (Cleveland OH); independent EB brokerage; Health Rosetta practitioner"
Adam Berkowitz,Simpara,https://fmma.org/annual-conference/past-conferences/,fmma_conference,"FMMA 2023 Annual Conference speaker on Waterford Union case study; founder & president of Simpara (St Louis MO); independent fee-only EB agency that explicitly refuses commissions/overrides; BenefitsPRO Broker of the Year finalist"
Kelly Fristoe,Financial Partners,https://fmma.org/annual-conference/past-conferences/,fmma_conference,"FMMA 2024 Annual Conference speaker; President/CEO of Financial Partners (Wichita Falls TX); independent EB brokerage acting as fiduciary steward of health plan dollars; NAHU board member"
Rich Hess,The Plexus Groupe,https://fmma.org/annual-conference/past-conferences/,fmma_conference,"FMMA 2025 Annual Conference speaker; Vice President at The Plexus Groupe (independent, founder-owned brokerage based in OKC/Chicago specializing in EB consulting)"
Nelson Griswold,NextGen Benefits,https://s6.goeshow.com/siia/sforum/2023/documents/Nelson_Griswold.pdf,siia_conference,"SIIA Spring Forum 2023 speaker (Managing Director NextGen Benefits per SIIA-hosted speaker PDF); Founder & Chairman of NextGen Benefits Network, a national alliance of independent fiduciary EB advisory firms"
Christine Cooper,aequum LLC,https://siiaconferences.org/nationalconference/2025/Sessions.cfm,siia_conference,"SIIA Innov8 National Conference 2025 speaker on 'Lawsuits Alleging Fiduciary Breaches'; CEO & co-founder of aequum LLC; co-chair of SIIA Price Transparency Committee; independent fiduciary-focused advisory firm"
Chris Burns,CRB Consulting Group,https://www.siia.org/i4a/pages/index.cfm?pageID=7992,siia_conference,"SIIA 2026 International Conference speaker; President of CRB Consulting Group (independent EB consulting firm); 40+ years brokerage experience"
Jaqueline Oliveira-Cella,WellBe Consulting,https://www.siia.org/i4a/pages/index.cfm?pageID=7992,siia_conference,"SIIA 2026 International Conference speaker; Founder of WellBe Consulting (independent benefits/wellbeing consulting firm)"
Chris Deacon,VerSan Consulting,https://fmma.org/annual-conference/past-conferences/,fmma_conference,"FMMA 2024 Annual Conference speaker; Founder/Principal of VerSan Consulting LLC; ERISA-fiduciary focused independent EB consulting firm; congressional witness on employer fiduciary duty"
